特約類別,機構代號,機構名稱,全日平均三班護理人員數,護病比,病床數,分佈,圖點,區部病床數排名
區域醫院,532090029,國軍桃園總,90.3,9.7,634,1,國軍桃園總醫院,21
地區醫院,512040014,國軍新竹醫,29.6,10.9,504,1,國軍新竹地區醫院,30
地區醫院,1112010528,國泰新竹,47,9.2,324,1,國泰醫院,49
醫學中心,1101020018,國泰醫院,170,8.1,819,1,國泰醫院總院,14
精神專科,1501010029,培靈醫院,5,11.1,19,1,培靈醫院,110
地區醫院,211070012,基隆市立醫,6,4.3,71,1,基隆市立醫院,81
區域醫院,1111060015,長庚基隆分,209.9,9.7,941,1,基隆長庚紀念醫院,11
地區醫院,1101110026,康寧醫院,18,6.7,423,1,康寧醫院,39
區域醫院,1532011154,敏盛綜合醫,78,10.2,784,1,敏盛醫院,15
地區醫院,1532091081,龍潭敏盛醫,6.5,10.6,34,1,敏盛醫院 龍潭分院,104
區域醫院,132010014,桃園醫院,188,9.6,712,1,部立桃園醫院,16
地區醫院,1501010010,博仁醫院,16,9.5,350,1,博仁綜合醫院,47
區域醫院,1134020019,羅東博愛醫,155.7,10.3,1061,1,博愛醫院門診大樓,7
地區醫院,1501201020,景美醫院,11.6,12.5,60,1,景美醫院,93
地區醫院,901180023,郵政醫院,11,6.3,69,1,郵政醫院,84
地區醫院,1532101091,陽明醫院,16.5,12.4,71,1,陽明醫院,81
地區醫院,931060016,新仁醫院,7,6.4,30,1,新仁醫院,105
地區醫院,1531051172,新北仁康,,,,1,新北仁康醫院,
地區醫院,1131130018,土城醫院,,,,1,新北市立土城醫院,
區域醫院,131020016,新北市聯醫,41.1,11.2,389,1,新北市立聯合醫院三重院區,43
醫學中心,1101150011,新光醫院,181.4,7.8,624,1,新光醫院,22
區域醫院,1112010519,新竹馬偕,118.4,9,542,1,新竹馬偕醫院,27
地區醫院,433050018,臺大生醫,,,,1,新竹臺大分院生醫醫院竹北院區,
區域醫院,412040012,臺大新竹分,154.4,8.4,833,1,新竹臺大分院新竹醫院,13
地區醫院,1511010068,新昆明醫院,4,3.5,55,1,新昆明醫院,95
地區醫院,1531060180,新泰綜合院,18,11,146,1,新泰綜合醫院,66
地區醫院,932020034,新國民法人,12,2.6,615,1,新國民醫院,23
精神專科,1431060017,新莊仁濟,5,11.9,20,1,新莊仁濟醫院,109
地區醫院,1531120038,瑞芳礦工醫,8,2.2,100,1,瑞芳礦工醫院,72
醫學中心,1301200010,萬芳醫院,194.7,7.5,598,1,萬芳醫院,25
區域醫院,1132010024,聖保祿醫院,66,9.6,300,1,聖保祿醫院,51
精神專科,911010010,維德醫院,11,10.8,63,1,維德醫院,88
地區醫院,401190010,北護分院,7.5,6.7,57,1,臺大醫院北護分院,94
地區醫院,431270012,台大金山,9.3,8.3,89,1,臺大醫院金山分院,75
醫中兒醫,401180023,台大兒醫,45.5,6.7,190,1,臺大醫院急診部,60
區域醫院,101090517,臺北市聯醫中興院區,67.4,9.8,449,1,臺北市立聯合醫院中興院區,34
區域醫院,101090517,臺北市聯醫和平婦幼院區,69.7,10.5,400,1,臺北市立聯合醫院和平婦幼院區和平院址,41
區域醫院,101090517,臺北市聯醫忠孝院區,54.4,10.3,313,1,臺北市立聯合醫院忠孝院區,50
精神專科,101090517,臺北市聯醫松德院區,104.4,8.5,477,1,臺北市立聯合醫院松德院區,32
醫學中心,601160016,臺北榮總,802,7.8,2524,1,臺北榮民總醫院,2
地區醫院,633030010,北榮新竹,34,12.2,268,1,臺北榮民總醫院新竹分院,54
區域醫院,1301170017,台北醫學大,155,8.9,597,1,臺北醫學大學附設醫院,26
區域醫院,1101010021,臺安醫院,51.5,8.2,465,1,臺安醫院,33
地區醫院,1411030013,臺灣礦工,7,9.6,102,1,臺灣礦工醫院,71
地區醫院,1331160010,輔大附醫,50,5.9,290,1,輔大醫院,52
地區醫院,1531130052,廣川醫院,4,6.3,173,1,廣川醫院,62
地區醫院,131060010,樂生療養院,30,10.5,336,1,樂生療養院迴龍院區,48
區域醫院,111070010,衛福部基隆,58.9,9.5,536,1,衛生福利部基隆醫院,28
區域醫院,131060029,衛福部台北,85.2,9.8,483,1,衛生福利部臺北醫院,31
區域醫院,1331040513,雙和醫院,295,7.7,1071,1,衛生福利部雙和醫院,6
地區醫院,132110519,桃園新屋,20.9,12.8,112,1,衛福部桃園醫院新屋分院,68
地區醫院,101090517,臺北市聯醫林森中醫院區,3,3,150,1,聯合醫院林森院區,65
區域醫院,1532100049,壢新醫院,105,9.6,600,1,壢新醫院,24
地區醫院,1532021383,懷寧醫院,6.1,11.7,67,1,懷寧醫院,87
區域醫院,1134020028,羅東聖母醫,,,,1,羅東聖母醫院,
地區醫院,701160518,關渡醫院,9.2,10.7,62,1,關渡醫院,90
地區醫院,1134010022,蘭陽仁愛醫,15,9.6,61,1,蘭陽仁愛醫院,91
地區醫院,1535010051,大千醫院,59,11.6,507,2,大千綜合醫院,17
區域醫院,936030018,大甲李綜合,31,7.9,508,2,大甲李綜合醫院,16
區域醫院,1136200015,大里仁愛醫,88,7.3,1009,2,大里仁愛醫院,4
地區醫院,1531060046,大順醫院,4,9.3,18,2,大順醫院,65
地區醫院,1535081078,大順醫院,4,4.5,49,2,大順醫院,59
醫學中心,1317050017,中國,436.2,8.2,1586,2,中國醫藥大學附設醫院,1
地區醫院,1336010015,中國豐原分,7,8.6,91,2,中國醫藥大學附設醫院豐原分院,50
地區醫院,1537070028,仁和醫院,3,4.4,100,2,仁和醫院,48
區域醫院,1139030015,若瑟醫院,47,9.4,504,2,天主教若瑟醫院,18
地區醫院,1139020019,福安醫院,,,,2,天主教福安醫院,
地區醫院,1503190039,新太平澄清,13,6.3,65,2,太平澄清醫院,55
地區醫院,1139010013,斗六慈濟醫,,,,2,斗六慈濟醫院,
區域醫院,439010518,台大雲林,152.2,10,687,2,台大醫院雲林分院,10
地區醫院,640140012,中榮灣橋,14.4,12.3,144,2,台中榮民總醫院灣橋分院,44
地區醫院,638020014,榮總埔里分,36.1,11.1,214,2,台中榮總埔里分院市區門診,33
地區醫院,1536181139,本堂澄清,6,7.7,153,2,本堂澄清醫院,42
區域醫院,936050029,光田綜合醫,147,9,1445,2,光田綜合醫院,2
地區醫院,1537010219,成美醫院,5.2,12.5,74,2,成美醫院,53
地區醫院,1538041101,竹山秀傳醫,30,10.6,325,2,竹山秀傳醫院,28
精神專科,1503250012,宏恩龍安分,14,9.4,46,2,宏恩醫院龍安分院,60
地區醫院,935020027,李綜合苑裡,28.4,8.8,258,2,李綜合醫院,31
區域醫院,937010019,秀傳紀念醫,130,8,572,2,秀傳醫院,14
地區醫院,1303180011,亞洲大學附,47.7,11.8,333,2,亞洲大學附屬醫院,27
地區醫院,1537100012,伸港忠孝,4,6.1,186,2,忠孝醫院,37
地區醫院,1536060037,明德梧棲醫,14,8.9,87,2,明德醫院,51
地區醫院,1538041165,東華醫院,10,12.1,59,2,東華醫院,56
區域醫院,917070029,林新醫療社,84,8.5,710,2,林新醫院,9
地區醫院,1503190020,長安醫院,14,11.6,180,2,長安醫院,39
地區醫院,1139130010,長庚雲林,20.3,8.1,168,2,長庚醫院雲林分院,40
精神專科,939010018,信安醫院,6.8,12.9,122,2,信安醫院,46
地區醫院,1537010175,冠華醫院,3,0.5,667,2,冠華醫院,11
地區醫院,1138010019,南投基督教,,,,2,南基醫院,
精神專科,935010021,大千南勢,14,13.4,72,2,南勢醫院,54
地區醫院,1539010048,洪揚醫院,6,6.5,181,2,洪揚醫院,38
區域醫院,1135050020,為恭醫院,74.5,10.5,605,2,為恭紀念醫院,13
地區醫院,1537051292,員生醫院,19,9.4,165,2,員生醫院,41
地區醫院,1537150512,員林郭大村,2,12.5,43,2,員林郭醫院大村分院,61
地區醫院,937050014,員榮醫院,11,10.4,394,2,員榮醫院,24
區域醫院,1138020015,埔里基督教,39,11.8,470,2,埔里基督教醫院,19
地區醫院,903150014,烏日林新醫,35,8.3,417,2,烏日林新醫院,23
地區醫院,439010527,成大斗六,32.5,10,284,2,國立成功大學醫學院附設醫院斗六分院,29
區域醫院,536190011,國軍台中總,66.8,10.2,535,2,國軍台中總醫院,15
地區醫院,517050010,國軍中清分,8.9,7.7,189,2,國軍臺中總醫院中清院區,35
地區醫院,1536100081,清泉醫院,13.7,11,187,2,清泉醫院,36
地區醫院,1535031041,通霄光田,4,3.3,200,2,通霄光田醫院,34
地區醫院,1517051107,勝美醫院,10,9.9,39,2,勝美醫院,62
地區醫院,1503030010,順安醫院,7,7.5,51,2,順安醫院,57
地區醫院,1536011276,新惠生,10,7.4,25,2,新惠生醫院,63
地區醫院,1536201065,新菩提醫院,4,9.5,80,2,新菩提醫院,52
地區醫院,1436020013,東勢農民醫,9.5,9.9,93,2,農民醫院,49
地區醫院,937030012,道周醫院,5.6,8.9,144,2,道周醫院,43
醫學中心,1137010024,彰基,301,7.6,943,2,彰化基督教醫院,5
地區醫院,1137050019,彰基員林基,67,8.3,258,2,彰化基督教醫院員林分院,32
地區醫院,1137020520,彰基鹿基醫,55,9.8,468,2,彰基鹿基分院,20
區域醫院,1137020511,彰濱秀傳,109.5,8.8,837,2,彰濱秀傳紀念醫院,6
地區醫院,1137010051,彰基漢銘基,,,,2,漢銘醫院,
區域醫院,1136090519,台中慈濟醫,132.5,8.7,784,2,臺中慈濟醫院,7
醫學中心,617060018,台中榮總,334.7,8,1153,2,臺中榮民總醫院,3
區域醫院,117030010,部臺中,70.4,10.4,360,2,臺中醫院,26
地區醫院,1503260018,臺安雙十分,16,5.3,112,2,臺安醫院雙十分院,47
區域醫院,1517061032,澄清中港,102,10.2,725,2,澄清綜合醫院中港院區,8
區域醫院,1517011112,澄清綜合醫,48,10.3,372,2,澄清醫院平等院區,25
區域醫院,135010016,苗栗醫院,64.5,10.3,437,2,衛生福利部苗栗醫院,22
區域醫院,137170515,部彰化,75.3,9.1,439,2,衛生福利部彰化醫院,21
地區醫院,138010027,部南投,57.4,12.2,282,2,衛福部南投醫院,30
精神專科,1417030017,靜和醫院,12.3,12.1,50,2,靜和醫院,58
區域醫院,136010010,部豐原,84.1,9.4,611,2,豐原醫院,12
地區醫院,1503200012,霧峰澄清醫,39,5.1,128,2,霧峰澄清醫院,45
地區醫院,1505340019,大安婦幼醫,7,7.2,24,3,大安婦幼醫院,75
地區醫院,1542010052,大東醫院,12,10.5,57,3,大東醫院,69
醫學中心,1317040011,中山醫院,192,7.9,1283,3,中山醫院,5
地區醫院,1521051179,仁村醫院,3,6,67,3,仁村醫院,62
區域醫院,622020017,中榮嘉義,64.2,8.9,469,3,台中榮總嘉義分院,24
區域醫院,905320023,南市立醫院,97.7,8.9,474,3,台南市立醫院,23
區域醫院,121050011,臺南醫院,82.5,10.4,661,3,台南醫院,16
地區醫院,141060513,台南新化分,7.5,10.5,84,3,台南醫院新化分院,58
地區醫院,1502041117,右昌聯合醫,14.4,10.5,136,3,右昌聯合醫院,46
地區醫院,1502051426,四季台安醫,11,10.9,60,3,四季台安醫院,66
地區醫院,1521051160,永和醫院,4,2.7,111,3,永和醫院,51
地區醫院,1542020067,光雄長安醫,10,6.6,109,3,光雄長安醫院,53
地區醫院,1522021264,安心醫院,6.5,7.8,24,3,安心醫院,75
地區醫院,1502110064,安泰醫院,6,9,79,3,安泰醫院,59
區域醫院,943030019,安泰醫療社,90.3,10.7,681,3,安泰醫院,15
醫學中心,421040011,成大醫院,368.3,7.1,1028,3,成大醫院,7
地區醫院,140010028,部朴子醫院,10.2,11.9,121,3,朴子醫院,50
精神專科,1143130019,佑青醫院,11,13.4,51,3,佑青醫院,71
地區醫院,1541070045,宏科醫院,2.5,6.9,69,3,宏科醫院,61
區域醫院,902080013,阮綜合醫療,96.4,9.6,439,3,阮綜合醫院,28
醫學中心,1141310019,奇美醫院,301.1,7.4,958,3,奇美醫院永康院區,8
地區醫院,1105050012,奇美佳里,41,11.7,173,3,奇美醫院佳里分院,44
區域醫院,1141090512,奇美柳營,245,7.1,713,3,奇美醫院柳營分院,13
地區醫院,943160012,枋寮醫療社,29,9,291,3,枋寮醫院,35
地區醫院,943040015,南門醫療社,7,10.5,66,3,南門醫院,63
地區醫院,943060017,屏安醫療社,15,12,60,3,屏安醫院,67
區域醫院,943010017,寶建醫療社,76.6,9.1,335,3,屏東寶建醫院,34
區域醫院,1143010012,屏基醫療,85.6,9.6,462,3,屏基醫療財團法人屏東基督教醫院,25
地區醫院,1507320015,新高醫院,21,9.7,99,3,建功馬光中醫診所,54
地區醫院,1542050056,建佑醫院,23.5,9.3,460,3,建佑醫院,26
地區醫院,1502070118,健新醫院,5,7.2,204,3,建新醫院,42
地區醫院,1143040010,恆春基督教,4,3.3,153,3,恆春基督教醫院,45
地區醫院,1502031102,柏仁醫院,9,10.7,72,3,柏仁醫院,60
地區醫院,1107350015,天主教聖功,29.9,8.9,291,3,財團法人天主教聖功醫院,35
區域醫院,102070020,大同醫院,89.2,9.6,354,3,高雄市立大同醫院,32
區域醫院,1102110011,小港醫院,86.1,10.8,375,3,高雄市立小港醫院,30
地區醫院,102080017,民生醫院,35,8.6,252,3,高雄市立民生醫院,38
地區醫院,942020019,岡山醫院,13,6.9,58,3,高雄市立岡山醫院,68
精神專科,102080026,市立凱旋醫,110,11.9,446,3,高雄市立凱旋醫院,27
地區醫院,1307370011,市立旗津醫,3.5,5.5,63,3,高雄市立旗津醫院,65
地區醫院,1142010518,鳳山醫院,10,11.6,88,3,高雄市立鳳山醫院,56
區域醫院,102020011,高雄市聯醫,51.9,8.8,353,3,高雄市立聯合醫院,33
醫學中心,1142100017,高雄長庚,516.2,7.9,1728,3,高雄長庚紀念醫院,1
醫學中心,602030026,高雄榮總,325.2,7.3,1323,3,高雄榮民總醫院,4
地區醫院,643130018,高榮屏東分,28.2,12.6,215,3,高雄榮民總醫院屏東分院,41
地區醫院,641310018,高榮台南,40,12,355,3,高雄榮民總醫院臺南分院,31
醫學中心,1302050014,高雄醫學大,427.5,7.5,1426,3,高雄醫學大學附設醫院,2
地區醫院,1542150042,高新醫院,4,14.3,21,3,高新醫院,77
地區醫院,1502040021,健仁醫院,30,10.2,221,3,健仁醫院,40
區域醫院,1543010109,國仁醫院,24.1,9.2,883,3,國仁醫院,9
區域醫院,502080015,國軍高雄總,121.5,10.8,779,3,國軍高雄總醫院,12
區域醫院,502030015,國軍左營,75,10.4,620,3,國軍高雄總醫院左營分院(海軍總醫院),17
地區醫院,542020011,國軍岡山醫,21,10.1,514,3,國軍高雄總醫院岡山分院,22
地區醫院,543010019,國軍屏東分,14.8,11.4,86,3,國軍高雄總醫院屏東分院,57
區域醫院,1521031104,郭綜合醫院,38.7,8.9,710,3,郭綜合醫院,14
地區醫院,1507300077,博田國際醫,,,,3,博正醫院,
地區醫院,1542011237,惠德醫院,6,10.2,28,3,惠德醫院,74
地區醫院,1521041137,開元寺慈愛,2,14.9,40,3,開元寺慈愛醫院,73
區域醫院,1121010018,新樓醫院,84.5,7,413,3,新樓醫院,29
地區醫院,941010019,新興醫院,9,12.2,65,3,新興醫院,64
地區醫院,141010013,新營醫院,12.2,12.3,122,3,新營醫院,49
地區醫院,1107320017,義大大昌醫,6.5,6.6,111,3,義大大昌醫院,51
區域醫院,1122010021,聖馬爾定,88,9.1,544,3,聖馬爾定醫院,21
區域醫院,1140010510,長庚嘉義,250.5,9.3,1349,3,嘉義長庚紀念醫院,3
區域醫院,1122010012,嘉基醫院,180.9,8,834,3,嘉義基督教醫院,11
精神專科,1442060014,慈惠醫院,14,11.1,95,3,慈恵醫院,55
區域醫院,1140030012,大林慈濟醫,166,8.9,867,3,慈濟醫院大林分院,10
區域醫院,1305370013,市立安南,113.6,8.6,612,3,臺南市立安南醫院,18
區域醫院,1343030018,輔英附設醫,44.5,9.7,580,3,輔英科技大學附設醫院,19
地區醫院,1543020105,茂隆骨科醫,10,9.7,135,3,潮州孝愛仁愛之家,47
區域醫院,143010011,部屏東醫院,58.5,10.3,264,3,衛生福利部屏東醫院,37
地區醫院,141270019,部胸腔病院,6.5,9.5,128,3,衛生福利部胸腔病院,48
精神專科,141270028,嘉南療養院,47.6,11,186,3,衛生福利部嘉南療養院,43
地區醫院,142030019,旗山醫院,43,11.8,229,3,衛生福利部旗山醫院,39
地區醫院,122020517,嘉義醫院,32.5,11.6,546,3,衛福部嘉義醫院,20
地區醫院,1522021175,盧亞人醫院,6,10.4,52,3,盧亞人醫院,70
精神專科,907120012,燕巢靜和醫,12,12.5,50,3,靜和醫院燕巢分院,72
區域醫院,1142120001,義大醫院,238,8.8,1240,3,E-DA Hospital,6
區域醫院,1146010014,台東馬偕,102,8.9,439,4,台東馬偕紀念醫院,3
地區醫院,1146010032,台東基督教,22.3,7.9,208,4,台東基督教醫院,5
地區醫院,1146010041,台東聖母醫,1.5,1.5,200,4,台東聖母醫院,7
地區醫院,1145030012,玉里慈濟醫,7,6.5,38,4,玉里慈濟醫院,14
地區醫院,905290020,吉安醫院,,,,4,吉安醫院,
醫學中心,1145010010,慈濟醫院,200.2,7.1,614,4,花蓮慈濟醫院,1
區域醫院,545040515,國軍花蓮,34.5,10.3,536,4,國軍花蓮總醫院,2
區域醫院,1145010038,門諾醫院,76.1,8.9,389,4,基督教門諾會醫院,4
地區醫院,1146030516,關山慈濟醫,4,6.3,123,4,慈濟醫院關山分院,11
地區醫院,646010013,北榮台東,13,12.8,83,4,榮民總醫院台東分院,13
地區醫院,645020015,北榮鳳林,8,11,100,4,榮民總醫院鳳林分院,12
地區醫院,645030011,北榮玉里,47,11.4,203,4,臺北榮民總醫院玉里分院,6
地區醫院,146010013,部東醫院,15.2,13.2,155,4,臺東醫院,9
精神專科,145030020,玉里醫院,25,10.9,147,4,衛生福利部玉里醫院,10
地區醫院,145010019,花蓮醫院,24.7,14,186,4,衛生福利部花蓮醫院,8
