特約類別,機構代號,機構名稱,全日平均三班護理人員數,護病比,病床數,分佈,圖點,區部病床數排名
區域醫院,1101160026,和信治癌,98,5.1,341,1,和信治癌中心醫院,52
精神專科,1532060031,居善醫院,10.5,16.5,63,1,居善醫院,96
地區醫院,1532040066,怡仁醫院,30.1,8.5,263,1,怡仁醫院,58
地區醫院,1531041390,怡和醫院,8,11.4,38,1,怡和醫院,105
地區醫院,1532021285,承安醫院,4.2,4.9,59,1,承安醫院,99
區域醫院,933050018,東元法人,36,9.5,680,1,東元綜合醫院,25
地區醫院,931010025,板英醫院,8,5.5,27,1,板英醫院,112
醫學中心,1132070011,林口長庚,880.6,7.3,3863,1,林口長庚紀念醫院,1
地區醫院,1532101117,秉坤,7,10.1,27,1,秉坤婦幼醫院,112
地區醫院,1512011185,南門醫院,13,10.4,234,1,南門醫院,62
地區醫院,1134070019,宜蘭員山,5,7.4,32,1,員山馬偕紀念醫院,107
區域醫院,1131090019,恩主公醫院,72.1,9.7,383,1,恩主公醫院,49
地區醫院,1531131157,恩樺醫院,20,9.8,91,1,恩樺醫院,82
區域醫院,1101160017,振興醫院,219.5,9.5,989,1,振興醫院,9
區域醫院,632010014,北榮桃園,64.2,9.3,655,1,桃園榮民醫院,29
地區醫院,1532010120,聯新桃新,4,3.2,95,1,桃新醫院,79
精神專科,934060027,海天醫院,8,14.1,43,1,海天醫院,104
區域醫院,1231050017,新店耕莘醫院,109.7,11,1011,1,耕莘醫院,8
地區醫院,1231030015,永和耕莘,38.9,11.2,365,1,耕萃醫院永和分院,50
醫學中心,1101100011,台北馬偕,228,7.5,822,1,馬偕紀念醫院,16
醫學中心,1131100010,馬偕淡水,228.5,7.5,918,1,馬偕醫院淡水院區,13
區域醫院,434010518,陽大醫院,99.4,9.7,500,1,國立陽明交通大學附設醫院,37
醫學中心,401180014,台大醫院,655.5,7.4,1907,1,國立臺灣大學醫學院附設醫院,3
區域醫院,532090029,國軍桃園,79.6,9.8,693,1,國軍桃園總醫院,24
地區醫院,512040014,國軍新竹醫,28.8,11.6,483,1,國軍新竹地區醫院,42
地區醫院,1112010528,國泰新竹,40,9.8,362,1,國泰醫院,51
醫學中心,1101020018,國泰醫院,151.5,7.9,881,1,國泰醫院總院,14
精神專科,1501010029,培靈醫院,5,11.3,19,1,培靈醫院,117
地區醫院,211070012,基隆市立醫,6,5.4,58,1,基隆市立醫院,101
區域醫院,1111060015,長庚基隆,199.2,9.5,967,1,基隆長庚紀念醫院,11
地區醫院,1101110026,康寧醫院,15,8.8,700,1,康寧醫院,22
區域醫院,1532011154,敏盛綜合,71,10.4,843,1,敏盛醫院,15
地區醫院,1532091081,龍潭敏盛醫,7,10.3,45,1,敏盛醫院 龍潭分院,103
區域醫院,132010014,部桃園,195,4.4,1558,1,部立桃園醫院,5
地區醫院,1501010010,博仁醫院,14,12.5,236,1,博仁綜合醫院,61
區域醫院,1134020019,羅東博愛,153.1,10.1,919,1,博愛醫院門診大樓,12
地區醫院,1501201020,景美醫院,10.4,12.1,70,1,景美醫院,92
地區醫院,901180023,郵政醫院,9,5.7,93,1,郵政醫院,81
地區醫院,1532101091,陽明醫院,16.5,12,74,1,陽明醫院,90
地區醫院,931060016,新仁醫院,3,9.6,20,1,新仁醫院,115
地區醫院,1531051172,新北仁康,3,5.2,77,1,新北仁康醫院,89
地區醫院,1131130018,土城醫院,83.3,8.5,333,1,新北市立土城醫院,54
區域醫院,131020016,新北市聯醫,47.4,10.9,392,1,新北市立聯合醫院三重院區,48
醫學中心,1101150011,新光醫院,182,6.9,696,1,新光醫院,23
區域醫院,1112010519,新竹馬偕,115.9,8.6,578,1,新竹馬偕醫院,30
地區醫院,433050018,臺大生醫,56.5,8,656,1,新竹臺大分院生醫醫院竹北院區,26
區域醫院,412040012,臺大新竹,145.4,9,792,1,新竹臺大分院新竹醫院,17
地區醫院,1511010068,新昆明醫院,5,1.9,84,1,新昆明醫院,85
地區醫院,1531060180,新泰綜合院,20,11.9,121,1,新泰綜合醫院,77
地區醫院,932020034,新國民法人,6,6.9,95,1,新國民醫院,79
精神專科,1431060017,新莊仁濟,5,11.9,20,1,新莊仁濟醫院,115
地區醫院,1531120038,瑞芳礦工醫,7,1.4,125,1,瑞芳礦工醫院,75
醫學中心,1301200010,萬芳醫院,172.2,7.7,656,1,萬芳醫院,26
區域醫院,1132010024,聖保祿醫院,59,9.7,332,1,聖保祿醫院,55
精神專科,911010010,維德醫院,9.2,13.8,59,1,維德醫院,99
地區醫院,401190010,北護分院,6,10.4,46,1,臺大醫院北護分院,102
地區醫院,431270012,台大金山,9.4,7,104,1,臺大醫院金山分院,78
醫中兒醫,401180023,台大兒醫,41.5,7.5,171,1,臺大醫院急診部,69
區域醫院,101090517,臺北市聯醫中興院區,72.1,8.5,500,1,臺北市立聯合醫院中興院區,37
區域醫院,101090517,臺北市聯醫和平婦幼院區,64.3,10.4,563,1,臺北市立聯合醫院和平婦幼院區和平院址,33
區域醫院,101090517,臺北市聯醫忠孝院區,60,9.9,401,1,臺北市立聯合醫院忠孝院區,47
精神專科,101090517,臺北市聯醫松德院區,89.2,9.4,495,1,臺北市立聯合醫院松德院區,40
醫學中心,601160016,臺北榮總,796.5,7.2,2491,1,臺北榮民總醫院,2
地區醫院,633030010,北榮新竹,35.3,13.3,238,1,臺北榮民總醫院新竹分院,59
區域醫院,1301170017,台北醫大,151.3,8.3,656,1,臺北醫學大學附設醫院,26
區域醫院,1101010021,臺安醫院,49,7,569,1,臺安醫院,32
地區醫院,1411030013,臺灣礦工,7,11.6,86,1,臺灣礦工醫院,84
地區醫院,1331160010,輔大附醫,103.2,9.4,575,1,輔大醫院,31
地區醫院,1531130052,廣川醫院,4,6.7,165,1,廣川醫院,70
地區醫院,131060010,樂生療養院,34,13.9,224,1,樂生療養院迴龍院區,63
區域醫院,111070010,部基隆,55.2,9.7,512,1,衛生福利部基隆醫院,36
區域醫院,131060029,部台北,87.1,11.1,426,1,衛生福利部臺北醫院,46
區域醫院,1331040513,雙和醫院,251.5,8.6,1125,1,衛生福利部雙和醫院,6
地區醫院,132110519,桃園新屋,22.8,10.9,151,1,衛福部桃園醫院新屋分院,71
地區醫院,101090517,臺北市聯醫林森中醫院區,3,0.3,1050,1,聯合醫院林森院區,7
區域醫院,1532100049,聯新國際醫,103.3,8.8,526,1,壢新醫院,35
地區醫院,1532021383,懷寧醫院,10,11.3,64,1,懷寧醫院,95
區域醫院,1134020028,羅東聖母,81.4,9.8,740,1,羅東聖母醫院,20
地區醫院,701160518,關渡醫院,8.4,11.7,62,1,關渡醫院,97
地區醫院,1134010022,宜蘭仁愛醫,13,3,31,1,蘭陽仁愛醫院,109
地區醫院,1535010051,大千醫院,66,11.6,453,2,大千綜合醫院,23
區域醫院,936030018,大甲李綜合,31,9.2,509,2,大甲李綜合醫院,20
區域醫院,1136200015,大里仁愛,103,7.1,976,2,大里仁愛醫院,7
地區醫院,1535081078,大順醫院,4,5.1,43,2,大順醫院,64
地區醫院,1531060046,大順醫院,4,10.2,16,2,大順醫院,69
醫學中心,1317050017,中國附醫,416.9,8.4,1629,2,中國醫藥大學附設醫院,2
地區醫院,1336010015,中國豐原分,6,11.4,81,2,中國醫藥大學附設醫院豐原分院,55
地區醫院,1537070028,仁和醫院,3,5.6,78,2,仁和醫院,56
地區醫院,1139030015,若瑟醫院,36.9,11,400,2,天主教若瑟醫院,29
地區醫院,1139020019,福安醫院,3,10.2,43,2,天主教福安醫院,64
地區醫院,1503190039,新太平澄清,8.2,14.8,48,2,太平澄清醫院,62
地區醫院,1139010013,斗六慈濟醫,3,0.6,1500,2,斗六慈濟醫院,3
區域醫院,439010518,台大雲林,151.7,9.9,695,2,台大醫院雲林分院,13
地區醫院,640140012,中榮灣橋,14.6,12.7,137,2,台中榮民總醫院灣橋分院,48
地區醫院,638020014,榮總埔里分,34.4,11.6,214,2,台中榮總埔里分院市區門診,42
地區醫院,1536181139,本堂澄清,7,4.2,245,2,本堂澄清醫院,40
區域醫院,936050029,光田綜合,143.5,9.6,1371,2,光田綜合醫院,4
地區醫院,1537010219,成美醫院,4,13.2,91,2,成美醫院,51
地區醫院,1538041101,竹山秀傳醫,27.6,10.9,360,2,竹山秀傳醫院,30
精神專科,1503250012,宏恩龍安分,9.7,13.4,46,2,宏恩醫院龍安分院,63
地區醫院,935020027,李綜合苑裡,24,10.3,407,2,李綜合醫院,28
區域醫院,937010019,秀傳醫院,100,9.2,1286,2,秀傳醫院,5
地區醫院,1303180011,亞洲大學附,73.6,11.2,449,2,亞洲大學附屬醫院,24
地區醫院,1537100012,伸港忠孝,4,4.5,260,2,忠孝醫院,38
地區醫院,1536060037,明德梧棲醫,12,10.3,87,2,明德醫院,53
地區醫院,1538041165,東華醫院,10,12.2,59,2,東華醫院,59
區域醫院,917070029,林新醫院,75,8.7,777,2,林新醫院,10
地區醫院,1503190020,長安醫院,15.4,13.1,146,2,長安醫院,47
地區醫院,1139130010,長庚雲林,19.9,7.1,283,2,長庚醫院雲林分院,34
精神專科,939010018,信安醫院,10.5,12.1,85,2,信安醫院,54
地區醫院,1537010175,冠華醫院,3,0.3,2000,2,冠華醫院,1
地區醫院,1138010019,南投基督教,21,9.8,211,2,南基醫院,43
精神專科,935010021,大千南勢,14,14.1,68,2,南勢醫院,58
地區醫院,1539010048,洪揚醫院,6,7.1,169,2,洪揚醫院,46
區域醫院,1135050020,為恭醫院,80.2,10.3,578,2,為恭紀念醫院,17
地區醫院,1537051292,員生醫院,22,8.3,263,2,員生醫院,37
地區醫院,1537150512,員林郭大村,2.5,12.7,34,2,員林郭醫院大村分院,67
地區醫院,937050014,員榮醫院,14.3,9.8,321,2,員榮醫院,32
區域醫院,1138020015,埔里基督教,39,12.1,454,2,埔里基督教醫院,22
地區醫院,903150014,烏日林新醫,48,10.1,556,2,烏日林新醫院,18
地區醫院,439010527,成大斗六,33.8,10.9,251,2,國立成功大學醫學院附設醫院斗六分院,39
區域醫院,536190011,國軍台中,67.7,10.4,605,2,國軍台中總醫院,15
地區醫院,517050010,國軍中清分,6.7,8.2,194,2,國軍臺中總醫院中清院區,44
地區醫院,1536100081,清泉醫院,18.4,11,280,2,清泉醫院,35
地區醫院,1535031041,通霄光田,3,1.8,500,2,通霄光田醫院,21
地區醫院,1517051107,勝美醫院,9,10.9,40,2,勝美醫院,66
地區醫院,1503030010,順安醫院,6,9.2,49,2,順安醫院,61
地區醫院,1536011276,新惠生,9,8,77,2,新惠生醫院,57
地區醫院,1536201065,新菩提醫院,4,10.3,118,2,新菩提醫院,49
地區醫院,1436020013,東勢農民醫,8.6,11.3,90,2,農民醫院,52
地區醫院,937030012,道周醫院,3,8.8,272,2,道周醫院,36
醫學中心,1137010024,彰基,296.2,7.8,909,2,彰化基督教醫院,9
地區醫院,1137050019,彰基員林基,66,8.9,358,2,彰化基督教醫院員林分院,31
地區醫院,1137020520,彰基鹿基醫,57,10.7,414,2,彰基鹿基分院,27
區域醫院,1137020511,彰濱秀傳,92,9.4,921,2,彰濱秀傳紀念醫院,8
地區醫院,1137010051,彰基漢銘基,24.4,10.5,114,2,漢銘醫院,50
區域醫院,1136090519,台中慈濟,130.9,8.9,773,2,臺中慈濟醫院,11
醫學中心,617060018,台中榮總,371.3,7.2,1212,2,臺中榮民總醫院,6
區域醫院,117030010,部臺中,82.7,9.7,594,2,臺中醫院,16
地區醫院,1503260018,臺安雙十分,18,6.7,240,2,臺安醫院雙十分院,41
區域醫院,1517061032,澄清中港,100,9.8,769,2,澄清綜合醫院中港院區,12
區域醫院,1517011112,澄清綜合醫,44,10.1,415,2,澄清醫院平等院區,26
區域醫院,135010016,部苗栗,64.5,10.6,419,2,衛生福利部苗栗醫院,25
區域醫院,137170515,部彰化,66.9,10.4,532,2,衛生福利部彰化醫院,19
區域醫院,138010027,部南投,67,10,295,2,衛福部南投醫院,33
精神專科,1417030017,靜和醫院,11.8,12.6,51,2,靜和醫院,60
區域醫院,136010010,部豐原,108.9,9.9,610,2,豐原醫院,14
地區醫院,1503200012,霧峰澄清醫,24,6.9,177,2,霧峰澄清醫院,45
地區醫院,1505340019,大安婦幼醫,6,5.9,34,3,大安婦幼醫院,75
地區醫院,1542010052,大東醫院,12,9.2,65,3,大東醫院,67
醫學中心,1317040011,中山附醫,242,7.3,1086,3,中山醫學大學附設醫院,7
地區醫院,1521051179,仁村醫院,3,10.2,39,3,仁村醫院,74
區域醫院,622020017,中榮嘉義,55,9.7,500,3,台中榮總嘉義分院,25
區域醫院,905320023,南市立醫院,97.7,7.9,536,3,台南市立醫院,22
區域醫院,121050011,部臺南醫院,83.1,10.4,661,3,台南醫院,17
地區醫院,141060513,台南新化分,5.5,13.1,92,3,台南醫院新化分院,56
地區醫院,1502041117,右昌聯合醫,15.3,12.3,137,3,右昌聯合醫院,46
地區醫院,1502051426,四季台安醫,11,9.5,69,3,四季台安醫院,66
地區醫院,1521051160,永和醫院,3,4,100,3,永和醫院,52
地區醫院,1542020067,光雄長安醫,9,6.7,120,3,光雄長安醫院,50
地區醫院,1522021264,安心醫院,5,9.5,25,3,安心醫院,77
區域醫院,943030019,安泰醫院,78.9,10.9,770,3,安泰醫院,12
地區醫院,1502110064,安泰醫院,6,9.3,78,3,安泰醫院,60
醫學中心,421040011,成大醫院,357.7,7.1,1051,3,成大醫院,8
地區醫院,140010028,部朴子醫院,12.3,12.6,95,3,朴子醫院,55
精神專科,1143130019,佑青醫院,10,14.4,52,3,佑青醫院,70
地區醫院,1541070045,宏科醫院,2.5,4.4,111,3,宏科醫院,51
區域醫院,902080013,阮綜合醫院,99.9,9.2,610,3,阮綜合醫院,19
醫學中心,1141310019,奇美醫院,315.3,7.2,1034,3,奇美醫院永康院區,9
地區醫院,1105050012,奇美佳里,50,10.5,296,3,奇美醫院佳里分院,38
區域醫院,1141090512,奇美柳營,179.5,9.3,738,3,奇美醫院柳營分院,14
地區醫院,943160012,枋寮醫療社,25,12.4,238,3,枋寮醫院,41
地區醫院,943040015,南門醫療社,7,8.9,77,3,南門醫院,61
精神專科,943060017,屏安醫療社,15,12,60,3,屏安醫院,69
區域醫院,943010017,寶建醫院,73,9.2,343,3,屏東寶建醫院,36
區域醫院,1143010012,屏基醫院,82.9,9,509,3,屏基醫療財團法人屏東基督教醫院,24
地區醫院,1507320015,新高醫院,17,11.9,100,3,建功馬光中醫診所,52
地區醫院,1542050056,建佑醫院,22,10.6,438,3,建佑醫院,30
地區醫院,1502070118,健新醫院,4,4.7,377,3,建新醫院,32
地區醫院,1143040010,恆春基督教,5.9,5.7,74,3,恆春基督教醫院,64
地區醫院,1502031102,柏仁醫院,9,9.3,83,3,柏仁醫院,58
地區醫院,1107350015,天主教聖功,24.5,10.6,275,3,財團法人天主教聖功醫院,39
區域醫院,102070020,大同醫院,82.4,10.1,374,3,高雄市立大同醫院,33
區域醫院,1102110011,小港醫院,82.7,9.9,496,3,高雄市立小港醫院,26
地區醫院,102080017,民生醫院,39,11.7,301,3,高雄市立民生醫院,37
地區醫院,942020019,岡山醫院,15,9.5,76,3,高雄市立岡山醫院,62
精神專科,102080026,市立凱旋,110.3,11.9,446,3,高雄市立凱旋醫院,28
地區醫院,1307370011,市立旗津醫,3,4.5,87,3,高雄市立旗津醫院,57
地區醫院,1142010518,鳳山醫院,11.3,12.5,71,3,高雄市立鳳山醫院,65
區域醫院,102020011,高雄市聯醫,41.7,8.9,440,3,高雄市立聯合醫院,29
醫學中心,1142100017,高雄長庚,509.3,7.5,1729,3,高雄長庚紀念醫院,1
醫學中心,602030026,高雄榮總,309.2,8.3,1213,3,高雄榮民總醫院,5
地區醫院,643130018,高榮屏東分,30.1,13.6,224,3,高雄榮民總醫院屏東分院,42
地區醫院,641310018,高榮台南院,41,11.9,350,3,高雄榮民總醫院臺南分院,35
醫學中心,1302050014,高雄醫學大,418.6,7.8,1410,3,高雄醫學大學附設醫院,2
地區醫院,1542150042,高新醫院,4,13.2,23,3,高新醫院,78
地區醫院,1502040021,健仁醫院,30,9.1,246,3,健仁醫院,40
區域醫院,1543010109,國仁醫院,23.9,9.9,646,3,國仁醫院,18
區域醫院,502080015,國軍高雄,123,10.8,768,3,國軍高雄總醫院,13
區域醫院,502030015,國軍左營,81,9.4,569,3,國軍高雄總醫院左營分院(海軍總醫院),21
地區醫院,542020011,國軍岡山醫,21,11.5,452,3,國軍高雄總醫院岡山分院,27
地區醫院,543010019,國軍屏東分,12.2,12.7,122,3,國軍高雄總醫院屏東分院,49
地區醫院,1521031104,郭綜合醫院,38.7,9.1,671,3,郭綜合醫院,15
地區醫院,1507300077,博田國際醫,7,8.2,126,3,博正醫院,48
地區醫院,1542011237,惠德醫院,4.6,12.6,30,3,惠德醫院,76
地區醫院,1521041137,開元寺慈愛,2,12.1,50,3,開元寺慈愛醫院,72
區域醫院,1121010018,新樓醫院,127.5,7.2,1148,3,新樓醫院,6
地區醫院,941010019,新興醫院,9.3,11.9,65,3,新興醫院,67
地區醫院,141010013,部新營醫院,16.5,11.1,99,3,新營醫院,54
地區醫院,1107320017,義大大昌醫,17.2,8.7,129,3,義大大昌醫院,47
區域醫院,1122010021,聖馬爾定,76,9.8,586,3,聖馬爾定醫院,20
區域醫院,1140010510,長庚嘉義,241,9.7,1349,3,嘉義長庚紀念醫院,4
區域醫院,1122010012,嘉基醫院,170.9,8.3,845,3,嘉義基督教醫院,11
精神專科,1442060014,慈惠醫院,15.5,11.6,81,3,慈恵醫院,59
區域醫院,1140030012,大林慈濟醫,145.7,8.5,1016,3,慈濟醫院大林分院,10
區域醫院,1305370013,市立安南,134.1,9.4,670,3,臺南市立安南醫院,16
區域醫院,1343030018,輔英醫院,61.5,9.4,369,3,輔英科技大學附設醫院,34
地區醫院,1543020105,茂隆骨科醫,9.5,8.1,169,3,潮州孝愛仁愛之家,44
區域醫院,143010011,部屏東醫院,74.1,10.4,423,3,衛生福利部屏東醫院,31
地區醫院,141270019,部胸腔病院,8.7,11.9,76,3,衛生福利部胸腔病院,62
精神專科,141270028,嘉南療養院,40.8,12,166,3,衛生福利部嘉南療養院,45
地區醫院,142030019,旗山醫院,45,11.9,208,3,衛生福利部旗山醫院,43
地區醫院,122020517,部嘉義醫院,31.4,12.8,514,3,衛福部嘉義醫院,23
地區醫院,1522021175,盧亞人醫院,6,10.3,52,3,盧亞人醫院,70
精神專科,907120012,燕巢靜和醫,10.6,14.2,50,3,靜和醫院燕巢分院,72
區域醫院,1142120001,義大醫院,217.9,8.6,1388,3,E-DA Hospital,3
區域醫院,1146010014,台東馬偕,96.4,9.7,428,4,台東馬偕紀念醫院,4
地區醫院,1146010032,台東基督教,24.3,7.6,196,4,台東基督教醫院,9
地區醫院,1146010041,台東聖母醫,1.5,0.1,1200,4,台東聖母醫院,1
地區醫院,1145030012,玉里慈濟醫,6.5,5.2,51,4,玉里慈濟醫院,15
地區醫院,905290020,吉安醫院,7,0.8,222,4,吉安醫院,7
醫學中心,1145010010,慈濟醫院,169,8.3,591,4,花蓮慈濟醫院,2
區域醫院,545040515,國軍花蓮,30.8,11.6,536,4,國軍花蓮總醫院,3
區域醫院,1145010038,門諾醫院,71.3,10.2,370,4,基督教門諾會醫院,5
地區醫院,1146030516,關山慈濟醫,5.3,5.7,73,4,慈濟醫院關山分院,14
地區醫院,646010013,北榮台東,14,12.3,81,4,榮民總醫院台東分院,13
地區醫院,645020015,北榮鳳林,6.3,12.7,110,4,榮民總醫院鳳林分院,12
地區醫院,645030011,北榮玉里,53.1,21.8,197,4,臺北榮民總醫院玉里分院,8
地區醫院,146010013,部東醫院,12.9,12.3,196,4,臺東醫院,9
地區醫院,145030020,玉里醫院,25.5,23.9,141,4,衛生福利部玉里醫院,11
地區醫院,145010019,花蓮醫院,32.4,12.7,251,4,衛生福利部花蓮醫院,6
